[2025-03-24T09:33:19.532] [INFO] sn - Logger initialized for sn
[2025-03-24T09:33:19.533] [INFO] database - Database: sn connection pool initialized
[2025-03-24T09:33:19.534] [INFO] data-parser - snParser init
[2025-03-24T09:33:21.140] [INFO] data-parser - Found 1148 rows to process
[2025-03-24T09:33:21.190] [INFO] data-parser - Processed row ID: 1
[2025-03-24T09:33:21.210] [INFO] data-parser - Processed row ID: 2
[2025-03-24T09:33:21.231] [INFO] data-parser - Processed row ID: 3
[2025-03-24T09:33:21.243] [INFO] data-parser - Processed row ID: 4
[2025-03-24T09:33:21.254] [INFO] data-parser - Processed row ID: 5
[2025-03-24T09:33:21.265] [INFO] data-parser - Processed row ID: 6
[2025-03-24T09:33:21.279] [INFO] data-parser - Processed row ID: 7
[2025-03-24T09:33:21.294] [INFO] data-parser - Processed row ID: 8
[2025-03-24T09:33:21.305] [INFO] data-parser - Processed row ID: 9
[2025-03-24T09:33:21.321] [INFO] data-parser - Processed row ID: 10
[2025-03-24T09:33:21.331] [INFO] data-parser - Processed row ID: 11
[2025-03-24T09:33:21.340] [INFO] data-parser - Processed row ID: 12
[2025-03-24T09:33:21.350] [INFO] data-parser - Processed row ID: 13
[2025-03-24T09:33:21.363] [INFO] data-parser - Processed row ID: 14
[2025-03-24T09:33:21.374] [INFO] data-parser - Processed row ID: 15
[2025-03-24T09:33:21.382] [INFO] data-parser - Processed row ID: 16
[2025-03-24T09:33:21.396] [INFO] data-parser - Processed row ID: 17
[2025-03-24T09:33:21.405] [INFO] data-parser - Processed row ID: 18
[2025-03-24T09:33:21.416] [INFO] data-parser - Processed row ID: 19
[2025-03-24T09:33:21.429] [INFO] data-parser - Processed row ID: 20
[2025-03-24T09:33:21.438] [INFO] data-parser - Processed row ID: 21
[2025-03-24T09:33:21.447] [INFO] data-parser - Processed row ID: 22
[2025-03-24T09:33:21.458] [INFO] data-parser - Processed row ID: 23
[2025-03-24T09:33:21.467] [INFO] data-parser - Processed row ID: 24
[2025-03-24T09:33:21.476] [INFO] data-parser - Processed row ID: 25
[2025-03-24T09:33:21.488] [INFO] data-parser - Processed row ID: 26
[2025-03-24T09:33:21.496] [INFO] data-parser - Processed row ID: 27
