[2025-03-22T13:00:52.873] [INFO] sn - Logger initialized for sn
[2025-03-22T13:00:52.874] [INFO] database - Database: sn connection pool initialized
[2025-03-22T13:00:52.876] [INFO] data-parser - snParser init
[2025-03-22T13:00:53.444] [INFO] data-parser - Found 1148 rows to process
[2025-03-22T13:00:53.500] [INFO] data-parser - Processed row ID: 1
[2025-03-22T13:00:53.523] [INFO] data-parser - Processed row ID: 2
[2025-03-22T13:00:53.536] [INFO] data-parser - Processed row ID: 3
[2025-03-22T13:00:53.554] [INFO] data-parser - Processed row ID: 4
[2025-03-22T13:00:53.571] [INFO] data-parser - Processed row ID: 5
[2025-03-22T13:00:53.588] [INFO] data-parser - Processed row ID: 6
[2025-03-22T13:00:53.601] [INFO] data-parser - Processed row ID: 7
[2025-03-22T13:00:53.613] [INFO] data-parser - Processed row ID: 8
[2025-03-22T13:00:53.629] [INFO] data-parser - Processed row ID: 9
[2025-03-22T13:00:53.639] [INFO] data-parser - Processed row ID: 10
[2025-03-22T13:00:53.649] [INFO] data-parser - Processed row ID: 11
[2025-03-22T13:00:53.661] [INFO] data-parser - Processed row ID: 12
[2025-03-22T13:00:53.671] [INFO] data-parser - Processed row ID: 13
[2025-03-22T13:00:53.679] [INFO] data-parser - Processed row ID: 14
[2025-03-22T13:00:53.693] [INFO] data-parser - Processed row ID: 15
[2025-03-22T13:00:53.703] [INFO] data-parser - Processed row ID: 16
[2025-03-22T13:00:53.712] [INFO] data-parser - Processed row ID: 17
[2025-03-22T13:00:53.725] [INFO] data-parser - Processed row ID: 18
[2025-03-22T13:00:53.735] [INFO] data-parser - Processed row ID: 19
[2025-03-22T13:00:53.747] [INFO] data-parser - Processed row ID: 20
[2025-03-22T13:00:53.760] [INFO] data-parser - Processed row ID: 21
[2025-03-22T13:00:53.770] [INFO] data-parser - Processed row ID: 22
[2025-03-22T13:00:53.782] [INFO] data-parser - Processed row ID: 23
[2025-03-22T13:00:53.800] [INFO] data-parser - Processed row ID: 24
[2025-03-22T13:00:53.818] [INFO] data-parser - Processed row ID: 25
[2025-03-22T13:00:53.831] [INFO] data-parser - Processed row ID: 26
[2025-03-22T13:00:53.841] [INFO] data-parser - Processed row ID: 27
[2025-03-22T13:00:53.850] [INFO] data-parser - Processed row ID: 28
[2025-03-22T13:00:53.859] [INFO] data-parser - Processed row ID: 29
[2025-03-22T13:00:53.873] [INFO] data-parser - Processed row ID: 30
[2025-03-22T13:00:53.883] [INFO] data-parser - Processed row ID: 31
[2025-03-22T13:00:53.898] [INFO] data-parser - Processed row ID: 32
[2025-03-22T13:00:53.908] [INFO] data-parser - Processed row ID: 33
[2025-03-22T13:00:53.918] [INFO] data-parser - Processed row ID: 34
[2025-03-22T13:00:53.927] [INFO] data-parser - Processed row ID: 35
[2025-03-22T13:00:53.941] [INFO] data-parser - Processed row ID: 36
[2025-03-22T13:00:53.951] [INFO] data-parser - Processed row ID: 37
