[2025-03-22T13:11:08.315] [INFO] sn - Logger initialized for sn
[2025-03-22T13:11:08.316] [INFO] database - Database: sn connection pool initialized
[2025-03-22T13:11:08.318] [INFO] data-parser - snParser init
[2025-03-22T13:11:08.825] [INFO] data-parser - Found 1148 rows to process
[2025-03-22T13:11:08.883] [INFO] data-parser - Processed row ID: 1
[2025-03-22T13:11:08.912] [INFO] data-parser - Processed row ID: 2
[2025-03-22T13:11:08.933] [INFO] data-parser - Processed row ID: 3
[2025-03-22T13:11:08.962] [INFO] data-parser - Processed row ID: 4
[2025-03-22T13:11:08.984] [INFO] data-parser - Processed row ID: 5
[2025-03-22T13:11:09.011] [INFO] data-parser - Processed row ID: 6
[2025-03-22T13:11:09.031] [INFO] data-parser - Processed row ID: 7
[2025-03-22T13:11:09.050] [INFO] data-parser - Processed row ID: 8
[2025-03-22T13:11:09.072] [INFO] data-parser - Processed row ID: 9
[2025-03-22T13:11:09.089] [INFO] data-parser - Processed row ID: 10
[2025-03-22T13:11:09.107] [INFO] data-parser - Processed row ID: 11
[2025-03-22T13:11:09.127] [INFO] data-parser - Processed row ID: 12
[2025-03-22T13:11:09.145] [INFO] data-parser - Processed row ID: 13
[2025-03-22T13:11:09.163] [INFO] data-parser - Processed row ID: 14
[2025-03-22T13:11:09.186] [INFO] data-parser - Processed row ID: 15
[2025-03-22T13:11:09.203] [INFO] data-parser - Processed row ID: 16
[2025-03-22T13:11:09.221] [INFO] data-parser - Processed row ID: 17
[2025-03-22T13:11:09.245] [INFO] data-parser - Processed row ID: 18
[2025-03-22T13:11:09.264] [INFO] data-parser - Processed row ID: 19
[2025-03-22T13:11:09.281] [INFO] data-parser - Processed row ID: 20
[2025-03-22T13:11:09.303] [INFO] data-parser - Processed row ID: 21
[2025-03-22T13:11:09.322] [INFO] data-parser - Processed row ID: 22
[2025-03-22T13:11:09.340] [INFO] data-parser - Processed row ID: 23
[2025-03-22T13:11:09.363] [INFO] data-parser - Processed row ID: 24
[2025-03-22T13:11:09.381] [INFO] data-parser - Processed row ID: 25
[2025-03-22T13:11:09.397] [INFO] data-parser - Processed row ID: 26
[2025-03-22T13:11:09.419] [INFO] data-parser - Processed row ID: 27
[2025-03-22T13:11:09.440] [INFO] data-parser - Processed row ID: 28
[2025-03-22T13:11:09.462] [INFO] data-parser - Processed row ID: 29
