[2025-03-22T12:54:31.006] [INFO] sn - Logger initialized for sn
[2025-03-22T12:54:31.007] [INFO] database - Database: sn connection pool initialized
[2025-03-22T12:54:31.010] [INFO] data-parser - snParser init
[2025-03-22T12:54:31.591] [INFO] data-parser - Found 1148 rows to process
[2025-03-22T12:54:31.646] [INFO] data-parser - Processed row ID: 1
[2025-03-22T12:54:31.668] [INFO] data-parser - Processed row ID: 2
[2025-03-22T12:54:31.681] [INFO] data-parser - Processed row ID: 3
[2025-03-22T12:54:31.700] [INFO] data-parser - Processed row ID: 4
[2025-03-22T12:54:31.712] [INFO] data-parser - Processed row ID: 5
[2025-03-22T12:54:31.727] [INFO] data-parser - Processed row ID: 6
[2025-03-22T12:54:31.739] [INFO] data-parser - Processed row ID: 7
[2025-03-22T12:54:31.750] [INFO] data-parser - Processed row ID: 8
[2025-03-22T12:54:31.761] [INFO] data-parser - Processed row ID: 9
[2025-03-22T12:54:31.774] [INFO] data-parser - Processed row ID: 10
[2025-03-22T12:54:31.783] [INFO] data-parser - Processed row ID: 11
[2025-03-22T12:54:31.792] [INFO] data-parser - Processed row ID: 12
[2025-03-22T12:54:31.807] [INFO] data-parser - Processed row ID: 13
[2025-03-22T12:54:31.816] [INFO] data-parser - Processed row ID: 14
[2025-03-22T12:54:31.826] [INFO] data-parser - Processed row ID: 15
[2025-03-22T12:54:31.839] [INFO] data-parser - Processed row ID: 16
[2025-03-22T12:54:31.848] [INFO] data-parser - Processed row ID: 17
[2025-03-22T12:54:31.857] [INFO] data-parser - Processed row ID: 18
[2025-03-22T12:54:31.872] [INFO] data-parser - Processed row ID: 19
[2025-03-22T12:54:31.880] [INFO] data-parser - Processed row ID: 20
[2025-03-22T12:54:31.889] [INFO] data-parser - Processed row ID: 21
[2025-03-22T12:54:31.901] [INFO] data-parser - Processed row ID: 22
[2025-03-22T12:54:31.910] [INFO] data-parser - Processed row ID: 23
[2025-03-22T12:54:31.918] [INFO] data-parser - Processed row ID: 24
[2025-03-22T12:54:31.932] [INFO] data-parser - Processed row ID: 25
[2025-03-22T12:54:31.945] [INFO] data-parser - Processed row ID: 26
[2025-03-22T12:54:31.957] [INFO] data-parser - Processed row ID: 27
[2025-03-22T12:54:31.967] [INFO] data-parser - Processed row ID: 28
[2025-03-22T12:54:31.975] [INFO] data-parser - Processed row ID: 29
[2025-03-22T12:54:31.984] [INFO] data-parser - Processed row ID: 30
[2025-03-22T12:54:31.997] [INFO] data-parser - Processed row ID: 31
[2025-03-22T12:54:32.006] [INFO] data-parser - Processed row ID: 32
[2025-03-22T12:54:32.018] [INFO] data-parser - Processed row ID: 33
[2025-03-22T12:54:32.027] [INFO] data-parser - Processed row ID: 34
[2025-03-22T12:54:32.035] [INFO] data-parser - Processed row ID: 35
[2025-03-22T12:54:32.049] [INFO] data-parser - Processed row ID: 36
[2025-03-22T12:54:32.059] [INFO] data-parser - Processed row ID: 37
[2025-03-22T12:54:32.067] [INFO] data-parser - Processed row ID: 38
[2025-03-22T12:54:32.080] [INFO] data-parser - Processed row ID: 39
[2025-03-22T12:54:32.088] [INFO] data-parser - Processed row ID: 40
[2025-03-22T12:54:32.098] [INFO] data-parser - Processed row ID: 41
[2025-03-22T12:54:32.111] [INFO] data-parser - Processed row ID: 42
[2025-03-22T12:54:32.121] [INFO] data-parser - Processed row ID: 43
[2025-03-22T12:54:32.130] [INFO] data-parser - Processed row ID: 44
[2025-03-22T12:54:32.143] [INFO] data-parser - Processed row ID: 45
[2025-03-22T12:54:32.153] [INFO] data-parser - Processed row ID: 46
[2025-03-22T12:54:32.162] [INFO] data-parser - Processed row ID: 47
[2025-03-22T12:54:32.178] [INFO] data-parser - Processed row ID: 48
[2025-03-22T12:54:32.191] [INFO] data-parser - Processed row ID: 49
[2025-03-22T12:54:32.203] [INFO] data-parser - Processed row ID: 50
[2025-03-22T12:54:32.218] [INFO] data-parser - Processed row ID: 51
