[2025-03-22T09:57:01.548] [INFO] sn - Logger initialized for sn
[2025-03-22T09:57:01.549] [INFO] database - Database: sn connection pool initialized
[2025-03-22T09:57:01.550] [INFO] data-parser - snParser init
[2025-03-22T09:57:01.699] [INFO] data-parser - Found 308 rows to process
[2025-03-22T09:57:01.765] [INFO] data-parser - Processed row ID: 1
[2025-03-22T09:57:01.792] [INFO] data-parser - Processed row ID: 2
[2025-03-22T09:57:01.814] [INFO] data-parser - Processed row ID: 3
[2025-03-22T09:57:01.834] [INFO] data-parser - Processed row ID: 4
[2025-03-22T09:57:01.863] [INFO] data-parser - Processed row ID: 5
[2025-03-22T09:57:01.880] [INFO] data-parser - Processed row ID: 6
[2025-03-22T09:57:01.892] [INFO] data-parser - Processed row ID: 7
[2025-03-22T09:57:01.909] [INFO] data-parser - Processed row ID: 8
[2025-03-22T09:57:01.920] [INFO] data-parser - Processed row ID: 9
[2025-03-22T09:57:01.931] [INFO] data-parser - Processed row ID: 10
[2025-03-22T09:57:01.942] [INFO] data-parser - Processed row ID: 11
[2025-03-22T09:57:01.956] [INFO] data-parser - Processed row ID: 12
[2025-03-22T09:57:01.966] [INFO] data-parser - Processed row ID: 13
[2025-03-22T09:57:01.979] [INFO] data-parser - Processed row ID: 14
[2025-03-22T09:57:01.990] [INFO] data-parser - Processed row ID: 15
[2025-03-22T09:57:02.000] [INFO] data-parser - Processed row ID: 16
[2025-03-22T09:57:02.013] [INFO] data-parser - Processed row ID: 17
[2025-03-22T09:57:02.022] [INFO] data-parser - Processed row ID: 18
[2025-03-22T09:57:02.033] [INFO] data-parser - Processed row ID: 19
[2025-03-22T09:57:02.048] [INFO] data-parser - Processed row ID: 20
[2025-03-22T09:57:02.059] [INFO] data-parser - Processed row ID: 21
[2025-03-22T09:57:02.068] [INFO] data-parser - Processed row ID: 22
[2025-03-22T09:57:02.084] [INFO] data-parser - Processed row ID: 23
[2025-03-22T09:57:02.095] [INFO] data-parser - Processed row ID: 24
[2025-03-22T09:57:02.104] [INFO] data-parser - Processed row ID: 25
[2025-03-22T09:57:02.117] [INFO] data-parser - Processed row ID: 26
[2025-03-22T09:57:02.127] [INFO] data-parser - Processed row ID: 27
[2025-03-22T09:57:02.137] [INFO] data-parser - Processed row ID: 28
[2025-03-22T09:57:02.153] [INFO] data-parser - Processed row ID: 29
[2025-03-22T09:57:02.163] [INFO] data-parser - Processed row ID: 30
[2025-03-22T09:57:02.182] [INFO] data-parser - Processed row ID: 31
[2025-03-22T09:57:02.192] [INFO] data-parser - Processed row ID: 32
[2025-03-22T09:57:02.202] [INFO] data-parser - Processed row ID: 33
[2025-03-22T09:57:02.215] [INFO] data-parser - Processed row ID: 34
[2025-03-22T09:57:02.229] [INFO] data-parser - Processed row ID: 35
[2025-03-22T09:57:02.238] [INFO] data-parser - Processed row ID: 36
[2025-03-22T09:57:02.250] [INFO] data-parser - Processed row ID: 37
[2025-03-22T09:57:02.260] [INFO] data-parser - Processed row ID: 38
[2025-03-22T09:57:02.271] [INFO] data-parser - Processed row ID: 39
[2025-03-22T09:57:02.283] [INFO] data-parser - Processed row ID: 40
[2025-03-22T09:57:02.293] [INFO] data-parser - Processed row ID: 41
[2025-03-22T09:57:02.303] [INFO] data-parser - Processed row ID: 42
[2025-03-22T09:57:02.315] [INFO] data-parser - Processed row ID: 43
[2025-03-22T09:57:02.324] [INFO] data-parser - Processed row ID: 44
[2025-03-22T09:57:02.335] [INFO] data-parser - Processed row ID: 45
[2025-03-22T09:57:02.347] [INFO] data-parser - Processed row ID: 46
[2025-03-22T09:57:02.355] [INFO] data-parser - Processed row ID: 47
[2025-03-22T09:57:02.363] [INFO] data-parser - Processed row ID: 48
[2025-03-22T09:57:02.376] [INFO] data-parser - Processed row ID: 49
[2025-03-22T09:57:02.385] [INFO] data-parser - Processed row ID: 50
[2025-03-22T09:57:02.396] [INFO] data-parser - Processed row ID: 51
[2025-03-22T09:57:02.411] [INFO] data-parser - Processed row ID: 52
[2025-03-22T09:57:02.420] [INFO] data-parser - Processed row ID: 53
[2025-03-22T09:57:02.428] [INFO] data-parser - Processed row ID: 54
[2025-03-22T09:57:02.439] [INFO] data-parser - Processed row ID: 55
[2025-03-22T09:57:02.448] [INFO] data-parser - Processed row ID: 56
[2025-03-22T09:57:02.459] [INFO] data-parser - Processed row ID: 57
[2025-03-22T09:57:02.475] [INFO] data-parser - Processed row ID: 58
[2025-03-22T09:57:02.486] [INFO] data-parser - Processed row ID: 59
[2025-03-22T09:57:02.498] [INFO] data-parser - Processed row ID: 60
[2025-03-22T09:57:02.511] [INFO] data-parser - Processed row ID: 61
[2025-03-22T09:57:02.521] [INFO] data-parser - Processed row ID: 62
[2025-03-22T09:57:02.535] [INFO] data-parser - Processed row ID: 63
[2025-03-22T09:57:02.549] [INFO] data-parser - Processed row ID: 64
[2025-03-22T09:57:02.558] [INFO] data-parser - Processed row ID: 65
[2025-03-22T09:57:02.577] [INFO] data-parser - Processed row ID: 66
[2025-03-22T09:57:02.593] [INFO] data-parser - Processed row ID: 67
[2025-03-22T09:57:02.603] [INFO] data-parser - Processed row ID: 68
[2025-03-22T09:57:02.613] [INFO] data-parser - Processed row ID: 69
[2025-03-22T09:57:02.627] [INFO] data-parser - Processed row ID: 70
[2025-03-22T09:57:02.637] [INFO] data-parser - Processed row ID: 71
[2025-03-22T09:57:02.646] [INFO] data-parser - Processed row ID: 72
[2025-03-22T09:57:02.661] [INFO] data-parser - Processed row ID: 73
[2025-03-22T09:57:02.671] [INFO] data-parser - Processed row ID: 74
