[2025-03-14T18:13:31.927] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 63
[2025-03-14T18:13:32.012] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 64
[2025-03-14T18:13:32.119] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 65
[2025-03-14T18:13:32.214] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 66
[2025-03-14T18:13:32.304] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 67
[2025-03-14T18:13:32.468] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 68
[2025-03-14T18:13:32.606] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 69
[2025-03-14T18:13:32.685] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 70
[2025-03-14T18:13:32.773] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 71
[2025-03-14T18:13:32.908] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 72
[2025-03-14T18:13:32.976] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 73
[2025-03-14T18:13:33.069] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 74
[2025-03-14T18:13:33.139] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 75
[2025-03-14T18:13:33.262] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 76
[2025-03-14T18:13:33.367] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 77
[2025-03-14T18:13:33.458] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 78
[2025-03-14T18:13:33.495] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 79
[2025-03-14T18:13:33.495] [WARN] uzp - Page does not exist: 404, url: https://orzeczenia.uzp.gov.pl/Home/Details/79
[2025-03-14T18:13:33.586] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 80
[2025-03-14T18:13:33.672] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 81
[2025-03-14T18:13:33.746] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 82
[2025-03-14T18:13:34.315] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 83
[2025-03-14T18:13:34.390] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 84
[2025-03-14T18:13:34.490] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 85
[2025-03-14T18:13:34.559] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 86
[2025-03-14T18:13:34.634] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 87
[2025-03-14T18:13:34.727] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 88
[2025-03-14T18:13:34.808] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 89
[2025-03-14T18:13:34.919] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 90
[2025-03-14T18:13:34.997] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 91
[2025-03-14T18:13:35.159] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 92
[2025-03-14T18:13:35.271] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 93
[2025-03-14T18:13:35.776] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 94
[2025-03-14T18:13:35.887] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 95
[2025-03-14T18:13:35.971] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 96
[2025-03-14T18:13:36.052] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 97
[2025-03-14T18:13:36.170] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 98
